sku,recency,frequency,monetary,R_Score,F_Score,M_Score,RFM_Segment,RFM_Score,Segment,Churn_Status
JNE3786-KR-XS,8,8,2811.0,3,3,2,332,8,Others,Needs Nurturing
JNE3786-KR-XXL,9,14,5000.0,3,3,3,333,9,Champions,Needs Nurturing
JNE3786-KR-XXXL,7,28,9758.76,3,4,3,343,10,Champions,Needs Nurturing
JNE3787-KR-L,4,16,7710.62,4,3,3,433,10,Champions,Needs Nurturing
JNE3787-KR-M,4,25,12018.43,4,4,4,444,12,Champions,Needs Nurturing
JNE3787-KR-S,5,51,24059.84,3,4,4,344,11,Champions,Needs Nurturing
JNE3787-KR-XL,1,20,9635.43,4,4,3,443,11,Champions,Needs Nurturing
JNE3787-KR-XS,1,24,11415.43,4,4,4,444,12,Champions,Needs Nurturing
JNE3787-KR-XXL,3,46,22181.43,4,4,4,444,12,Champions,Needs Nurturing
JNE3787-KR-XXXL,6,17,7241.0,3,3,3,333,9,Champions,Needs Nurturing
JNE3788-KR-L,17,1,0.0,2,1,1,211,4,Others,Needs Nurturing
JNE3788-KR-M,22,4,1948.0,2,2,2,222,6,Others,Needs Nurturing
JNE3788-KR-S,12,3,1461.0,3,1,2,312,6,Others,Needs Nurturing
JNE3788-KR-XL,30,2,487.0,2,1,1,211,4,Others,Needs Nurturing
JNE3788-KR-XS,27,1,487.0,2,1,1,211,4,Others,Needs Nurturing
JNE3788-KR-XXL,33,1,487.0,1,1,1,111,3,At Risk,Churn Likely
JNE3788-KR-XXXL,45,3,1437.81,1,1,2,112,4,At Risk,Churn Likely
JNE3789-KR-L,22,1,487.0,2,1,1,211,4,Others,Needs Nurturing
JNE3789-KR-M,2,5,2181.0,4,2,2,422,8,Loyal,Retained
JNE3789-KR-S,43,7,2785.0,1,2,2,122,5,At Risk,Churn Likely
JNE3789-KR-XL,85,1,383.0,1,1,1,111,3,At Risk,Churn Likely
JNE3789-KR-XS,23,8,3272.0,2,3,2,232,7,Others,Needs Nurturing
JNE3789-KR-XXL,86,2,766.0,1,1,1,111,3,At Risk,Churn Likely
JNE3789-KR-XXXL,1,8,2947.0,4,3,2,432,9,Champions,Needs Nurturing
JNE3790-KR-L,11,19,5553.0,3,4,3,343,10,Champions,Needs Nurturing
JNE3790-KR-M,8,13,4021.67,3,3,3,333,9,Champions,Needs Nurturing
JNE3790-KR-S,18,6,1833.0,2,2,2,222,6,Others,Needs Nurturing
JNE3790-KR-XL,5,16,4917.95,3,3,3,333,9,Champions,Needs Nurturing
